2025-03-05 02:33:22 - CPU: 0.3%, Memory: 25.3%, Process:
PID: 1, Name: systemd, Status sleeping, CPU Time: pcputimes(user=5.78, system=2.11, children_user=259.9, children_system=81.16, iowait=0.0)
PID: 2, Name: kthreadd, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.01, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 3, Name: pool_workqueue_release, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 4, Name: kworker/R-rcu_gp, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 5, Name: kworker/R-sync_wq, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 6, Name: kworker/R-slub_flushwq, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 7, Name: kworker/R-netns, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 9, Name: kworker/0:0H-events_highpri, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 11, Name: kworker/u16:0-ipv6_addrconf, Status idle, CPU Time: pcputimes(user=0.0, system=0.03, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 12, Name: kworker/R-mm_percpu_wq, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 13, Name: rcu_tasks_rude_kthread, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 14, Name: rcu_tasks_trace_kthread, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 15, Name: ksoftirqd/0, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.55, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 16, Name: rcu_sched, Status idle, CPU Time: pcputimes(user=1.06, system=0.79, children_user=0.0, children_system=0.0, iowait=0.0)
